"News Source","Vertical Rank","Horizontal Rank", "URL"
"ABC","57","0", "abcnews.com"
"AFP","62","0", "afp.com"
"Al Jazeera US/Canada News","54","-1", "aljazeera.com"
"Alternet","18","-23", "alternet.org"
"AP","62","0", "www.ap.org"
"APNews","62","0", "www.apnews.com"
"Axios","52","-2", "axios.com"
"BBC","54","-3", "bbc.com"
"Bipartisan Report", "13","-27", "bipartisanreport.com"
"Bloomberg","58","4", "bloomberg.com"
"Breitbart","8","34", "breitbart.com"
"Business Insider","39","0", "businessinsider.com"
"BuzzFeed News","51","-15", "buzzfeednews.com"
"CBS","57","4", "cbsnews.com"
"Christian Science Monitor","54","6", "csmonitor.com"
"CNN","32","-6", "cnn.com"
"Conservative Tribune","12","35", "westernjournal.com"
"CSPAN","59","0", "c-span.org"
"Daily Beast","41","-21", "thedailybeast.com"
"Daily Caller","12","24", "dailycaller.com"
"Daily Kos","20","-24", "dailykos.com"
"Daily Mail","19","13", "dailymail.co.uk"
"Daily Signal","30","-15", "dailysignal.com"
"Daily Wire","16","28", "dailywire.com"
"David Wolfe","2","-32", "davidwolfe.com"
"Democracy Now","48","-19", "democracynow.org"
"Drudge Report","38","16", "drudgereport.com"
"Financial Times","48","3", "www.ft.com"
"Fiscal Times","39","12", "thefiscaltimes.com"
"Forbes","44","3", "forbes.com"
"Foreign Policy","45","9", "foreignpolicy.com"
"Fortune","46","5", "fortune.com"
"Forward Progressives","15","-25", "forward.com"
"Fox","20","27", "foxnews.com"
"FreeSpeech TV","37","-25", "freespeech.org"
"Guacamoley","17","-20", "guacamoley.com"
"Huffington Post","24","-20", "huffpost.com"
"IJR","41","2", "ijr.com"
"InfoWars","1","44", "infowars.com"
"Intercept","49","-23", "theintercept.com"
"Jacobin","47","-28", "jacobinmag.com"
"LA Times","58","-6", "latimes.com"
"Marketwatch","50","5", "marketwatch.com"
"Mic","39","-18", "www.mic.com"
"Mother Jones","40","-24", "motherjones.com"
"MSNBC","34","-19", "msnbc.com"
"National Enquirer","6","10", "nationalenquirer.com"
"National Review","51","20", "nationalreview.com"
"NBC","57","-3", "nbcnews.com"
"New Republic","46","-19", "newrepublic.com"
"New York Post","20","18", "nypost.com"
"New York Times","52","-5", "nytimes.com"
"News and Guts","31","-15", "newsandguts.com"
"NewsMax","43","-28", "newsmax.com"
"NPR","56","-5", "npr.org"
"OAN","23","28", "oann.com"
"Occupy Democrats","9","-30", "occupydemocrats.com"
"OZY","43","0", "www.ozy.com"
"Palmer Report","8","-34", "palmerreport.com"
"Patribotics","1","-40", "patribotics.blog"
"PBS","57","-5", "pbs.org"
"PJ Media","17","26", "pjmedia.com"
"Politico","55","-3", "politico.com"
"ProPublica","46","-5", "propublica.org"
"Quartz","44","-5", "qz.com"
"Reason","42","18", "/reason.com"
"RedState","11","29", "redstate.com"
"Reuters","62","0", "reuters.com"
"Second Nexus","23","-23", "secondnexus.com"
"ShareBlue","33","-21", "shareblue.com"
"Slate","43","-20", "slate.com"
"Talking Points Memo", "41","-13", "talkingpointsmemo.com"
"The Advocate","40","-23", "theadvocate.com"
"The American Conservative", "33","28", "theamericanconservative.com"
"The Atlantic","46","-15", "theatlantic.com"
"The Blaze","8","27", "theblaze.com"
"The Economist","48","4", "economist.com"
"The Federalist","26","27", "thefederalist.com"
"The Gateway Pundit","12","35", "thegatewaypundit.com"
"The Guardian","48","-6", "theguardian.com"
"The Hill","54","9", "thehill.com"
"The Nation","47","-17", "thenation.com"
"The New Yorker","47","-9", "/newyorker.com"
"The Skimm","49","-2", "theskimm.com"
"The Week","44","-10", "theweek.com"
"The Weekly Standard","46","18", "weeklystandard.com"
"The Young Turks","27","-24", "tyt.com"
"Think Progress","42","-13", "thinkprogress.org"
"Time","43","-1", "/time.com"
"Truthout","36","-24", "truthout.org"
"Twitchy","14","29", "twitchy.com"
"USA Today","52","0", "usatoday.com"
"Vanity Fair","38","-12", "vanityfair.com"
"Vice","42","-10", "vice.com"
"Vox","43","-16", "vox.com"
"Wall Street Journal","53","11", "wsj.com"
"Washington Examiner","35","18", "washingtonexaminer.com"
"Washington Free Beacon","41","24", "freebeacon.com"
"Washington Monthly","30","-23", "washingtonmonthly.com"
"Washington Post","51","-10", "washingtonpost.com"
"Washington Times","33","20", "washingtontimes.com"
"WND","4","36", "wnd.com"
"Wonkette","12","-34", "wonkette.com"
"WorldTruth.Tv","1","20", "worldtruth.tv"
